global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x1430ED338,ConsoleLog::GetSingleton,ConsoleLog,0,high,219,219,1,ConsoleLog:219,FUN_1405a0ba0 FUN_1405eaf30 SCRIPT_FUNCTION::GetCompileFunction FUN_1405e5f80 FUN_1403824c0 FUN_1405fa110,
0x1431E5B08,ControlMap::GetSingleton,ControlMap,0,high,41,41,1,ControlMap:41,FUN_140ac17e0 FUN_140a7a180 Func3 FUN_140a07070 FUN_140a88250 FUN_140ad0d00,
0x1430DDAA0,UIMessageQueue::GetSingleton,UIMessageQueue,0,high,31,31,1,UIMessageQueue:31,FUN_140ac17e0 FUN_140ac20b0 Func1 FUN_14106c6e0 MenuControls::ForcePauseGame FUN_14107f280,
0x1430DBDD8,PlayerCamera::Singleton,PlayerCamera,0,high,21,21,1,PlayerCamera:21,FUN_1404b0290 FUN_140b6c320 FUN_140d5a2e0 FUN_140d76310 FUN_140c38aa0 Func1,
0x1430DC080,TESDataHandler::GetSingleton,TESDataHandler,0,high,13,13,1,TESDataHandler:13,FUN_1402dfa40 FUN_141071100 FUN_140bf95f0 Func1 FUN_1406179a0 Func18,
0x1430EAD10,BSScaleformManager::Singleton,BSScaleformManager,0,high,11,11,1,BSScaleformManager:11,FUN_140ac17e0 FUN_14107aab0 FUN_141065b70 FUN_14107b3f0 FUN_141042b50 FUN_140a50c00,
0x1430E13F0,BGSInventoryInterface::GetSingleton,BGSInventoryInterface,0,high,11,11,1,BGSInventoryInterface:11,Func50 FUN_140ae29c0 Func23 FUN_140b130f0 FUN_140b45480 PipboyInventoryData::RepopulateItemCardOnSection,
0x1431E5B00,PlayerControls::Singleton,PlayerControls,0,high,10,10,1,PlayerControls:10,Func1 ReadyWeaponHandler::HandleEvent FUN_140ae6f00 Func3 FUN_140ddecd0,
0x1431E33A8,ActorEquipManager::GetSingleton,ActorEquipManager,0,high,9,9,1,ActorEquipManager:9,Func1 FUN_14098ae70 Func23 FUN_14098f350 FUN_140d11c80 Func109,
0x1430DD8A0,BGSDynamicPersistenceManager::GetSingleton,BGSDynamicPersistenceManager,0,high,8,8,1,BGSDynamicPersistenceManager:8,FUN_140496e10 TESQuest::AddAliasToRef FUN_140674ff0 FUN_140d11c80 Func236 FUN_14049ec80,
0x1430DD830,BSInputEnableManager::GetSingleton,BSInputEnableManager,0,high,7,7,1,BSInputEnableManager:7,FUN_14099ad10 FUN_141042b50 Func8,
0x1432F4778,TaskQueueInterface::GetSingleton,TaskQueueInterface,0,high,6,6,1,TaskQueueInterface:6,FUN_14037dc40 FUN_14038c090 FUN_140b16ac0 Func18 FUN_140392220,
0x1430DD8B0,UI::Singleton,UI,0,high,4,4,1,UI:4,FUN_14012bc70 FUN_140ae7750 FUN_140126e80 FUN_14012bf70,
0x1431E2398,DAT_1431e2398,BSReadWriteLock,0,high,4,4,1,BSReadWriteLock:4,PowerArmor::IsExitLocationClear FUN_140d7bc10,
0x143268E38,PowerArmorGeometry::Singleton,IAnimationGraphManagerHolder,0,high,4,4,1,IAnimationGraphManagerHolder:4,PowerArmorGeometry::UpdatePowerArmorHUD FUN_1410544e0,
0x1430DDA80,MessageMenuManager::GetSingleton,MessageMenuManager,0,high,3,3,1,MessageMenuManager:3,FUN_140bf95f0 FUN_140aff960 Func20,
0x143284AE8,DAT_143284ae8,BGSTerminal,0,high,3,3,1,BGSTerminal:3,FUN_140b105e0 FUN_140b10130 FUN_140b0cef0,
0x1431E33B8,BGSSynchronizedAnimationManager::Singleton,BGSSynchronizedAnimationManager,0,high,3,3,1,BGSSynchronizedAnimationManager:3,Actor::PollItemEquip FUN_140cd72e0 FUN_140cd2910,
0x1430DD828,g_DefaultCreatedObjectManager,BGSCreatedObjectManager,0,high,3,3,1,BGSCreatedObjectManager:3,FUN_141061080 FUN_140e1c7e0 FUN_14105b830,
0x143268AB8,FavoritesManager::Singleton,FavoritesManager,0,high,3,3,1,FavoritesManager:3,FUN_140b377d0 Func8,
0x1435EA468,DAT_1435ea468,BSReadWriteLock,0,high,2,2,1,BSReadWriteLock:2,"_lambda_d4be7055fa439260259132f8bd5d18e8_::operator() BSStaticTriShapeDB::Request(BSResource::ID&,BSResource::RHandleType<BSResource::Entry<BSStaticTriShapeDB::CpuBuffer*,BSResource::EntryDBTraits<BSStaticTriShapeDB::DBTraits,BSResource::EntryDB<BSStaticTriShapeDB::DBTraits>>::CArgs>,BSResource::EntryDB<BSS",
0x1438C7A50,DAT_1438c7a50,ScrapHeap,0,high,2,2,1,ScrapHeap:2,FUN_1417df6c0 FUN_1417df620,
0x143345F90,BSAudioManager::GetSingleton,Entry,0,high,2,2,1,Entry:2,FUN_14162f400,
0x143284C30,DAT_143284c30,Entry,0,high,2,2,1,Entry:2,FUN_140b105e0 FUN_140b104a0,
0x1433055E0,DAT_1433055e0,BSReadWriteLock,0,high,2,2,1,BSReadWriteLock:2,FUN_140edd180,
0x1430EB130,DAT_1430eb130,Entry,0,high,2,2,1,Entry:2,FUN_1403736c0,
0x1430DC140,ProcessLists::Singleton,ProcessLists,0,high,2,2,1,ProcessLists:2,PlayerCharacter::ShowStealthMeter FUN_140ddecd0,
0x1432D20C8,TES::GetSingleton,GridCellArray,1,medium,8,13,4,GridCellArray:8 TESObjectCELL:3 Sky:1 TESWorldSpace:1,FUN_140835450 FUN_140394320 TES::ClearOldestBufferedCell(void) FUN_140c00720 FUN_1402d4dd0 FUN_1402d2390,
0x14329D588,BGSSaveLoadManager::GetSingleton,BGSSaveLoadManager,0,medium,5,6,2,BGSSaveLoadManager:5 Entry:1,FUN_140d549d0 PipboyManager::Update FUN_140d55fa0 Func1 FUN_140b2b480,
0x143284BD8,DAT_143284bd8,TESFurniture,1,medium,4,5,2,TESFurniture:4 TESObjectREFR:1,FUN_140b0d7d0 TerminalMenu::ProcessMessage Func4 FUN_140b102f0,
0x1430E0168,DAT_1430e0168,TESObjectREFR,0,medium,3,4,2,TESObjectREFR:3 TESForm:1,FUN_1402eba90 FUN_1402ebb30 FUN_1402eb670,
0x143E5B968,DAT_143e5b968,Entry,0,medium,1,1,1,Entry:1,FUN_1422ad870,
0x143266228,DAT_143266228,BSSpinLock,0,medium,1,1,1,BSSpinLock:1,FUN_140fe6a20,
0x1430EFEA8,DAT_1430efea8,BSReadWriteLock,0,medium,1,1,1,BSReadWriteLock:1,FUN_140484130,
0x14326F800,DAT_14326f800,Actor,0,medium,1,1,1,Actor:1,LooksMenu::ThrowPick,
0x14326F818,DAT_14326f818,TESObjectREFR,1,medium,1,1,1,TESObjectREFR:1,FUN_140a7ffd0,
0x14326B520,GameUIModel::Singleton,GameUIModel,0,medium,1,1,1,GameUIModel:1,Main::OnIdle,
0x1430E0E50,DAT_1430e0e50,Entry,1,medium,1,1,1,Entry:1,Func0,
0x1431E5A50,TESAudio::ScriptedMusicState::Singleton,ScriptedMusicState,0,medium,1,1,1,ScriptedMusicState:1,FUN_1405c33b0,
0x14326F4D8,MenuCursor::Singleton,MenuCursor,0,medium,1,1,1,MenuCursor:1,FUN_140ae40d0,
0x1432D22E0,g_pPlayerCharacter,Actor,0,low,18,67,7,Actor:18 PlayerCharacter:15 TESObjectREFR:14 TESObjectCELL:11 PowerArmor:6 IAnimationGraphManagerHolder:2 AIProcess:1,FUN_140c93310 FUN_140bd64c0 Func1 FUN_140c00720 FUN_140bd5ee0 FUN_140a41040,
0x1431E5808,PipboyManager::Singleton,Inventory3DManager,0,low,3,6,2,Inventory3DManager:3 PipboyManager:3,FUN_140ae29c0 ReadyWeaponHandler::HandleEvent FUN_141032b60 TerminalMenu::ProcessMessage FUN_140ae40d0,
